titulo,href,valoracion,duracion,dificultad,categorias,ingredientes,categoria_principal
Receta de Empanadas provincianas (para 12 tapas de empanada o 48 tapas de copetin),/receta-1697/empanadas-provincianas-para-tapas-de-empanada-o-tapas-de-copetin,0,Entre 30 y 60 min.,Media,"['tradicionales', 'americanas']","['Margarina', 'Cebolla', 'Cebolla', 'Guindilla', 'Ternera', 'Patata', 'Pasa', 'Sal', 'Pimienta', 'Comino', 'Pimentón dulce', 'Huevo', 'Aceituna', 'Huevo']",tradicionales
Receta de tortilla francesa rellena de quesito y jamon york,/receta-1885/tortilla-francesa-rellena-de-quesito-y-jamon-york,0,Menos de 15 min.,Sencilla,[],"['Huevo', 'Jamón cocido']",
Receta de Brazo gitano con jamón y requesón,/receta-1520/brazo-gitano-con-jamon-y-requeson,0,Entre 30 y 60 min.,Media,[],"['Leche', 'Margarina', 'Sal', 'Harina', 'Huevo', '_descripcion', 'Jamón cocido', 'Requesón', 'Huevo', 'Pepinillo', 'Mayonesa']",
Receta de Vómito de vagabundo,/receta-1932/vomito-de-vagabundo,0,Menos de 15 min.,Sencilla,"['para microondas', 'mediterráneas']","['Huevo', 'Bacón', 'Frankfurt', 'Jamón cocido', 'Mayonesa', 'Ketchup']",
Receta de calzone de verdura,/receta-1971/calzone-de-verdura,0,Entre 30 y 60 min.,Sencilla,[],"['Ajo', 'Berenjena', 'Té rojo', 'Té verde', 'Cebolla', 'Espinaca', 'Base de pizza', 'Queso Mozzarella']",
Receta de Pizza sábado noche,/receta-1265/pizza-sabado-noche,0,Entre 30 y 60 min.,Sencilla,"['veraniegas', 'invernales', 'para niños', 'mediterráneas']","['Harina de fuerza', 'Levadura en polvo', 'Sal', 'Agua', 'Aceite de oliva', 'Salsa de tomate frito', 'Orégano', 'Queso rallado', 'Anchoa', 'Aceituna negra', 'Cebolla', 'Pimiento', 'Jamón cocido', 'Ketchup']",light
Receta de Pan - Pizza,/receta-1132/pan-pizza,0,Entre 15 y 30 min.,Sencilla,['mediterráneas'],"['Pan', 'Salsa de tomate frito', 'Queso rallado', 'Orégano', 'Cebolla', 'Atún en aceite en lata', 'Zanahoria']",
Receta de BUDÍN DE CALABAZA,/receta-1100/budin-de-calabaza,0,Más de 2 horas,Sencilla,[],"['Calabaza', 'Huevo', 'Nata para cocinar', 'Sal', 'Pimienta', 'Nuez moscada', '_descripcion', '_descripcion', 'Queso Roquefort', 'Leche', 'Nata', 'Aceite']",
Receta de pizza marinera,/receta-903/pizza-marinera,0,Menos de 15 min.,Sencilla,"['para niños', 'mediterráneas', 'para tupper']","['Base de pizza', 'Salsa de tomate triturado', 'Queso Mozzarella', 'Aceituna', 'Aceituna', 'Atún en aceite en lata', 'Queso rallado', 'Orégano']",
Receta de tortilla de champiñones,/receta-890/tortilla-de-champinones,0,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'minimalistas']","['Champiñón', 'Huevo', 'Sal', 'Aceite de oliva', 'Ajo', 'Limón']",
Receta de Calzone de solomillo de cerdo al aroma de ras el hanout,/receta-2335/calzone-de-solomillo-de-cerdo-al-aroma-de-ras-el-hanout,0,Entre 15 y 30 min.,Sencilla,[],"['Solomillo de cerdo', 'Ajo', 'Seta shiitake', 'Cebolla', 'Pimienta', 'Salsa de tomate frito', 'Base de pizza', 'Queso']",
Receta de filetes de merluza fritos con eneldo,/receta-1008/filetes-de-merluza-fritos-con-eneldo,5,Menos de 15 min.,Sencilla,"['minimalistas', 'tradicionales', 'para niños', 'mediterráneas']","['Merluza', 'Harina de tempura', 'Eneldo', 'Aceite de oliva', 'Sal']",light
Receta de Chipirones rellenos en su tinta,/receta-861/chipirones-rellenos-en-su-tinta,5,Entre 1 y 2 horas,Media,"['tradicionales', 'para fiestas']","['Chipirón', 'Huevo', 'Jamón cocido', 'Ajo', 'Cebolla', 'Tomate', 'Calamar', 'Aceituna', 'Sal']",tradicionales
Receta de Almejas a la marinera,/receta-856/almejas-a-la-marinera,5,Menos de 15 min.,Sencilla,['tradicionales'],"['Almeja', 'Cebolla', 'Ajo', 'Harina', 'Agua', 'Aceituna', 'Perejil']",light
Receta de Merluza en salsa verde,/receta-1095/merluza-en-salsa-verde,5,Entre 15 y 30 min.,Sencilla,"['light', 'mediterráneas']","['Rosada', 'Agua', 'Vino blanco', 'Perejil', 'Harina', 'Ajo', 'Aceite de oliva', 'Sal']",veraniegas
Receta de salmón a la plancha con pasta y salsa de yogur,/receta-867/salmon-a-la-plancha-con-pasta-y-salsa-de-yogur,5,Entre 15 y 30 min.,Sencilla,"['light', 'minimalistas', 'tradicionales', 'para tupper']","['Salmón', 'Pasta alimenticia', 'Yogur natural', 'Aceite de oliva', 'Limón', 'Sal', 'Albahaca']",vegetarianas
Receta de Berberechos en escabeche,/receta-859/berberechos-en-escabeche,5,Entre 15 y 30 min.,Sencilla,['tradicionales'],"['Berberecho', 'Cebolla', 'Ajo', 'Aceituna', 'Vino blanco', 'Pimienta molida', 'Pimentón dulce', 'Vino blanco', 'Berberecho', 'Laurel']",light
Receta de atún al limón,/receta-485/atun-al-limon,5,Entre 15 y 30 min.,Sencilla,"['light', 'minimalistas', 'para fiestas']","['Atún fresco', 'Ajo', 'Aceite de oliva', 'Sal', 'Limón']",
Receta de Zamburiñas a la plancha,/receta-1181/zamburinas-a-la-plancha,5,Menos de 15 min.,Sencilla,"['light', 'invernales', 'minimalistas', 'afrodisíacas', 'tradicionales', 'mediterráneas']","['Zamburiña', 'Aceite de oliva', 'Ajo', 'Sal']",light
Receta de Merluza envuelta con jamón y queso,/receta-989/merluza-envuelta-con-jamon-y-queso,5,Entre 15 y 30 min.,Media,"['veraniegas', 'para niños', 'mediterráneas', 'para tupper']","['Merluza', 'Queso en loncha', 'Jamón cocido', 'Huevo', 'Pan rallado', 'Pimienta', 'Aceite de girasol']",light
Receta de Caballa Adobada a la plancha,/receta-1210/caballa-adobada-a-la-plancha,5,Entre 15 y 30 min.,Sencilla,[],"['Caballa', 'Vinagre', 'Agua', 'Tomillo', 'Orégano', 'Perejil', 'Romero', 'Sal']",light
Receta de Especial Navidad: Tomates Cherrys rellenos con cóctel de gambas,/receta-1158/especial-navidad-tomates-cherrys-rellenos-con-coctel-de-gambas,5,Entre 15 y 30 min.,Sencilla,"['veraniegas', 'invernales', 'minimalistas', 'para navidad', 'para fiestas', 'mediterráneas']","['Gamba', 'Limón', 'Nata para montar', 'Salsa de tomate frito', 'Coñac', 'Tomate cherry', 'Sal']",exóticas
Receta de Sardinitas Morunas,/receta-1061/sardinitas-morunas,5,Entre 15 y 30 min.,Sencilla,"['light', 'tradicionales', 'para microondas', 'mediterráneas']","['Sardina', 'Ajo', 'Cebolla', 'Pimiento', 'Tomate', 'Aceite de oliva', 'Orégano', 'Azúcar blanco']",light
Receta de Merluza a la romana con ensalada de pasta,/receta-906/merluza-a-la-romana-con-ensalada-de-pasta,5,Entre 15 y 30 min.,Sencilla,"['light', 'tradicionales', 'para tupper']","['Pasta de espirales de colores', 'Tomate para ensalada', 'Aceite de oliva', 'Limón', 'Sal', 'Merluza', 'Pan rallado', 'Harina', 'Huevo', 'Pimienta']",mediterráneas
Receta de Bacalao a la portuguesa,/receta-769/bacalao-a-la-portuguesa,5,Entre 15 y 30 min.,Sencilla,"['tradicionales', 'para fiestas']","['Bacalao', 'Harina', 'Patata', 'Cebolla', 'Aceite de oliva', 'Vino blanco', 'Ajo', 'Sal', 'Pimienta']",vegetarianas
Receta de Atún con fideos,/receta-881/atun-con-fideos,5,Menos de 15 min.,Sencilla,"['exóticas', 'veraniegas', 'minimalistas', 'asiáticas']","['Fideos de arroz', 'Pimiento rojo', 'Ajo', 'Atún fresco', 'Salsa de soja', 'Perejil', 'Vinagre balsámico']",tradicionales
Receta de salmón a la plancha con pasta y salsa de yogur,/receta-867/salmon-a-la-plancha-con-pasta-y-salsa-de-yogur,5,Entre 15 y 30 min.,Sencilla,"['light', 'minimalistas', 'tradicionales', 'para tupper']","['Salmón', 'Pasta alimenticia', 'Yogur natural', 'Aceite de oliva', 'Limón', 'Sal', 'Albahaca']",
Receta de Chipirones rellenos en su tinta,/receta-861/chipirones-rellenos-en-su-tinta,5,Entre 1 y 2 horas,Media,"['tradicionales', 'para fiestas']","['Chipirón', 'Huevo', 'Jamón cocido', 'Ajo', 'Cebolla', 'Tomate', 'Calamar', 'Aceituna', 'Sal']",veraniegas
Receta de Berberechos en escabeche,/receta-859/berberechos-en-escabeche,5,Entre 15 y 30 min.,Sencilla,['tradicionales'],"['Berberecho', 'Cebolla', 'Ajo', 'Aceituna', 'Vino blanco', 'Pimienta molida', 'Pimentón dulce', 'Vino blanco', 'Berberecho', 'Laurel']",veraniegas
Receta de Merluza envuelta con jamón y queso,/receta-989/merluza-envuelta-con-jamon-y-queso,5,Entre 15 y 30 min.,Media,"['veraniegas', 'para niños', 'mediterráneas', 'para tupper']","['Merluza', 'Queso en loncha', 'Jamón cocido', 'Huevo', 'Pan rallado', 'Pimienta', 'Aceite de girasol']",veraniegas
Receta de atún al limón,/receta-485/atun-al-limon,5,Entre 15 y 30 min.,Sencilla,"['light', 'minimalistas', 'para fiestas']","['Atún fresco', 'Ajo', 'Aceite de oliva', 'Sal', 'Limón']",veraniegas
Receta de Bacalao a la portuguesa,/receta-769/bacalao-a-la-portuguesa,5,Entre 15 y 30 min.,Sencilla,"['tradicionales', 'para fiestas']","['Bacalao', 'Harina', 'Patata', 'Cebolla', 'Aceite de oliva', 'Vino blanco', 'Ajo', 'Sal', 'Pimienta']",veraniegas
Receta de Especial Navidad: Tomates Cherrys rellenos con cóctel de gambas,/receta-1158/especial-navidad-tomates-cherrys-rellenos-con-coctel-de-gambas,5,Entre 15 y 30 min.,Sencilla,"['veraniegas', 'invernales', 'minimalistas', 'para navidad', 'para fiestas', 'mediterráneas']","['Gamba', 'Limón', 'Nata para montar', 'Salsa de tomate frito', 'Coñac', 'Tomate cherry', 'Sal']",invernales
Receta de Bacalao al Ajo Arriero a mi estilo,/receta-326/bacalao-al-ajo-arriero-a-mi-estilo,5,Entre 1 y 2 horas,Media,"['tradicionales', 'mediterráneas']","['Bacalao', 'Salsa de tomate triturado', 'Pimiento verde', 'Pimiento', 'Cebolla', 'Ajo', 'Aceite de oliva', 'Sal', 'Pimentón picante', 'Pan de chapata']",light
Receta de Bacalao con manzana caramelizada y vino blanco,/receta-345/bacalao-con-manzana-caramelizada-y-vino-blanco,5,Entre 30 y 60 min.,Sencilla,['para fiestas'],"['Bacalao fresco', 'Manzana', 'Cebolla', 'Vino blanco', 'Azúcar blanco', 'Harina']",tradicionales
Receta de Mejillones en salsa,/receta-54/mejillones-en-salsa,5,Entre 15 y 30 min.,Sencilla,"['tradicionales', 'para navidad']","['Mejillón', 'Agua', 'Laurel', 'Aceite de oliva', 'Cebolla', 'Pimiento verde', 'Pimiento rojo', 'Pan rallado', 'Pan rallado']",
Receta de cazuela de mar al estragón,/receta-287/cazuela-de-mar-al-estragon,5,Entre 30 y 60 min.,Media,['light'],"['Gamba', 'Merluza', 'Aceite', 'Sal', 'Cebolla', 'Vino blanco', 'Guisante verde', 'Estragón']",vegetarianas
Receta de Bacalao en capas,/receta-16/bacalao-en-capas,5,Entre 15 y 30 min.,Sencilla,"['para navidad', 'para fiestas']","['Patata', 'Tomate', 'Ajo', 'Aceite de oliva', 'Sal', 'Almendra', 'Albahaca', 'Bacalao']",tradicionales
Receta de Salmón a la plancha,/receta-259/salmon-a-la-plancha,5,Entre 15 y 30 min.,Sencilla,"['light', 'veraniegas', 'minimalistas']","['Salmón', 'Pimienta molida', 'Limón', 'Aceite de oliva', 'Eneldo', 'Sal']",tradicionales
Receta de Langostinos a la marinera,/receta-675/langostinos-a-la-marinera,5,Entre 15 y 30 min.,Sencilla,"['light', 'minimalistas', 'tradicionales', 'para navidad', 'para fiestas', 'para celíacos']","['Langostino', 'Aceite de oliva', 'Vino blanco', 'Ajo', 'Sal', 'Perejil']",exóticas
Receta de Rollitos de cangrejo rellenos de anchoa sobre salmorejo,/receta-1331/rollitos-de-cangrejo-rellenos-de-anchoa-sobre-salmorejo,5,Entre 15 y 30 min.,Sencilla,"['veraniegas', 'para navidad', 'para fiestas', 'para niños', 'para carnaval']","['Cangrejo', 'Queso para untar', 'Mayonesa', 'Cebolleta', 'Anchoa', 'Tomate', 'Pan', 'Aceite de oliva', 'Ajo', 'Vinagre', 'Sal']",veraniegas
Receta de Niguiris de salmón,/receta-826/niguiris-de-salmon,5,Entre 15 y 30 min.,Difícil,"['light', 'tradicionales', 'asiáticas']","['Salmón', 'Arroz', 'Salsa wasabi', 'Vinagre']",veraniegas
Receta de rollitos de lenguadina rellenos de salmon,/receta-347/rollitos-de-lenguadina-rellenos-de-salmon,5,Entre 30 y 60 min.,Sencilla,"['para navidad', 'mediterráneas']","['Lenguado', 'Salmón ahumado', 'Sal', 'Pimienta', 'Mantequilla', 'Zumo de limón', 'Aceite', 'Perejil', 'Eneldo']",veraniegas
Receta de Bacalao al horno con patatas y alcachofas,/receta-295/bacalao-al-horno-con-patatas-y-alcachofas,5,Entre 30 y 60 min.,Sencilla,"['tradicionales', 'mediterráneas']","['Bacalao desalado', 'Pimiento verde', 'Patata', 'Alcachofa', 'Ajo', 'Aceituna', 'Sal']",tradicionales
Receta de CALAMARES RELLENOS CON SALSA ,/receta-446/calamares-rellenos-con-salsa,5,Entre 30 y 60 min.,Sencilla,"['para navidad', 'mediterráneas']","['Calamar', 'Perejil', 'Ajo', 'Cebolla', 'Tomate', 'Vino blanco', 'Laurel', 'Cubito de caldo', 'Aceite de oliva', 'Pimienta molida', 'Comino']",exóticas
Receta de Atún a la plancha con puré de salmorejo,/receta-8/atun-a-la-plancha-con-pure-de-salmorejo,5,Menos de 15 min.,Sencilla,"['light', 'mediterráneas', 'para tupper']","['Atún fresco', 'Sal', 'Tomate', 'Pan', 'Ajo', 'Vinagre', 'Aceite de oliva']",tradicionales
Receta de BUDIN DE ATÚN,/receta-806/budin-de-atun,5,Entre 15 y 30 min.,Sencilla,"['tradicionales', 'mediterráneas']","['Salsa de tomate frito', 'Huevo', 'Atún en aceite en lata']",minimalistas
Receta de TRONCO DE MARISCO,/receta-413/tronco-de-marisco,5,Entre 30 y 60 min.,Media,[],"['Huevo', 'Azúcar blanco', 'Harina de repostería', 'Cangrejo', 'Langostino', 'Huevo', 'Chalote', 'Salsa cocktail', 'Aceite de oliva', 'Huevo', 'Ketchup', 'Salsa Perrins', 'Brandy', 'Nata para montar', 'Salsa de tabasco', 'Zumo de naranja natural', 'Salsa de Mostaza', 'Pimienta']",exóticas
Receta de Llampuga con pimientos,/receta-168/llampuga-con-pimientos,5,Entre 15 y 30 min.,Sencilla,"['veraniegas', 'tradicionales', 'mediterráneas']","['Harina blanca', 'Aceite', 'Pimiento rojo', 'Ajo', 'LLampuga']",tradicionales
Receta de Mejillones al alioli,/receta-81/mejillones-al-alioli,5,Menos de 15 min.,Sencilla,[],"['Mejillón', 'Ajo', 'Aceite de oliva', 'Huevo', 'Limón', 'Laurel', 'Agua']",
Receta de atún a la plancha gratinado,/receta-671/atun-a-la-plancha-gratinado,4,Menos de 15 min.,Sencilla,['minimalistas'],"['Atún fresco', 'Aceite de oliva', 'Sal', 'Queso Gouda', 'Orégano']",
Receta de langostinos al armagnac,/receta-389/langostinos-al-armagnac,4,Entre 15 y 30 min.,Sencilla,[],"['Langostino', 'Champiñón', 'Ajo', 'Coñac', 'Coñac', 'Eneldo']",
Receta de merluza en salsa roja,/receta-959/merluza-en-salsa-roja,4,Menos de 15 min.,Sencilla,"['light', 'tradicionales', 'para microondas', 'mediterráneas']","['Puerro', 'Pimiento rojo', 'Aceite de oliva', 'Sal', 'Vino blanco', 'Verduras variadas congeladas', 'Harina', 'Pimentón dulce', 'Merluza']",
Receta de Bacalao confitado,/receta-565/bacalao-confitado,4,Entre 15 y 30 min.,Sencilla,[],"['Bacalao', 'Aceite', 'Ajo']",light
Receta de Bonito en salsa,/receta-564/bonito-en-salsa,4,Entre 30 y 60 min.,Sencilla,[],"['Bonito', 'Pimiento', 'Tomate', 'Cebolla', 'Ajo', 'Vino blanco', 'Pimienta']",
Receta de Merluza con guisantes,/receta-162/merluza-con-guisantes,4,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas']","['Merluza', 'Guisante verde', 'Cebolla', 'Agua', 'Aceite', 'Sal']",
Receta de Bacalao y patata al microondas,/receta-231/bacalao-y-patata-al-microondas,4,Menos de 15 min.,Sencilla,"['light', 'para microondas']","['Bacalao', 'Patata', 'Cebolla', 'Sal', 'Perejil', 'Ajo', 'Pimiento rojo', 'Aceite de oliva']",
Receta de Merluza guisada con verduritas,/receta-55/merluza-guisada-con-verduritas,4,Entre 15 y 30 min.,Sencilla,['light'],"['Merluza', 'Patata', 'Puerro', 'Verduras variadas congeladas', 'Aceite de oliva', 'Harina blanca', 'Vino blanco', 'Ajo']",
Receta de Lubina al horno,/receta-52/lubina-al-horno,4,Entre 15 y 30 min.,Sencilla,[],"['Lubina', 'Verduras variadas congeladas', 'Puerro', 'Sal', 'Aceite de oliva', 'Cerveza']",
Receta de MERLUZA CON MAYONESA,/receta-958/merluza-con-mayonesa,4,Entre 15 y 30 min.,Sencilla,[],"['Merluza', 'Mayonesa']",vegetarianas
Receta de Gambas al ajillo,/receta-169/gambas-al-ajillo,4,Entre 15 y 30 min.,Sencilla,[],"['Gamba', 'Ajo', 'Perejil', 'Aceite']",veraniegas
Receta de Pulpo a la gallega,/receta-165/pulpo-a-la-gallega,4,Entre 1 y 2 horas,Media,"['light', 'tradicionales', 'para celíacos']","['Pulpo', 'Pimentón dulce', 'Pimentón picante', 'Aceite de oliva', 'Sal', 'Cebolla']",tradicionales
Receta de Lubina a la carbonara,/receta-240/lubina-a-la-carbonara,4,Entre 15 y 30 min.,Media,[],"['Lubina', 'Bacón', 'Nata para cocinar', 'Cebolla', 'Sal', 'Aceite de oliva']",vegetarianas
Receta de Calamares con champiñones,/receta-618/calamares-con-champinones,4,Entre 15 y 30 min.,Media,[],"['Calamar', 'Champiñón', 'Aceite de oliva', 'Sal']",
Receta de SALMÓN AL TURRÓN,/receta-290/salmon-al-turron,4,Entre 15 y 30 min.,Sencilla,['para navidad'],"['Salmón', 'Cebolla', 'Nata para montar', 'Turrón de jijona', 'Harina']",
Receta de Salpicón de rape,/receta-17/salpicon-de-rape,4,Entre 30 y 60 min.,Sencilla,"['light', 'para navidad', 'para fiestas', 'norte de Europa', 'para celíacos', 'para tupper']","['Rape', 'Patata', 'Cebolla', 'Huevo', 'Laurel', 'Perejil', 'Aceite de oliva', 'Sal']",vegetarianas
Receta de Arroz caldoso con bogavante,/receta-528/arroz-caldoso-con-bogavante,4,Entre 30 y 60 min.,Media,"['para navidad', 'para fiestas', 'mediterráneas']","['Arroz', 'Tomate', 'Ajo', 'Cebolla', 'Brandy', 'Ñoras secas', 'Perejil', 'Caldo de pescado', 'Gamba', 'Bogavante', 'Azafrán', 'Colorante alimenticio']",
Receta de MERLUZA Y QUENLLA EN SALSA DE PIMIENTOS   ( OLLA GM-D),/receta-636/merluza-y-quenlla-en-salsa-de-pimientos-olla-gm-d,4,Menos de 15 min.,Sencilla,[],"['Merluza', 'Gamba', 'Pimiento', 'Nata para cocinar', 'Aceite', 'Sal']",
Receta de Lentejas con bacalao,/receta-204/lentejas-con-bacalao,4,Menos de 15 min.,Sencilla,[],"['Lenteja', 'Caldo de verdura', 'Bacalao desalado', 'Cebolla', 'Zanahoria', 'Aceite de oliva', 'Tomillo', 'Romero', 'Pimienta', 'Sal']",
Receta de MEJILLONES EN ESCABECHE,/receta-1099/mejillones-en-escabeche,4,Entre 15 y 30 min.,Sencilla,[],"['Mejillón', 'Laurel', 'Ajo', 'Aceite de oliva', 'Vino blanco', 'Mejillón', 'Sal', 'Pimentón dulce', 'Pimentón picante', 'Vino blanco']",
Receta de SEPIA EN SU TINTA,/receta-1129/sepia-en-su-tinta,4,Entre 15 y 30 min.,Sencilla,[],"['Cebolla', 'Sepia', 'Vino blanco', 'Tinta de calamar', 'Sal', 'Agua', 'Aceite', 'Ajo']",
Receta de MERLUZA PARA DIABÉTICOS,/receta-1191/merluza-para-diabeticos,4,Entre 15 y 30 min.,Sencilla,[],"['Merluza', 'Tomate', 'Cebolla', 'Piñón', 'Caldo de pescado', 'Sal']",para fiestas
Receta de SARDINAS ESCABECHADAS,/receta-1199/sardinas-escabechadas,4,Entre 15 y 30 min.,Sencilla,[],"['Sardina', 'Ajo', 'Pimentón dulce', 'Vinagre', 'Laurel', 'Tomillo', 'Orégano', 'Romero', 'Caldo de pescado', 'Pimienta', 'Aceite de oliva']",tradicionales
Receta de CABALLA EN ESCABECHE,/receta-1134/caballa-en-escabeche,4,Entre 1 y 2 horas,Sencilla,[],"['Caballa', 'Cebolla', 'Cebolleta', 'Puerro', 'Zanahoria', 'Vinagre', 'Aceite', 'Laurel', 'Pimentón dulce', 'Clavo', 'Pimienta']",
Receta de Saltavallao,/receta-787/saltavallao,5,Entre 30 y 60 min.,Sencilla,"['vegetarianas', 'invernales', 'tradicionales', 'para fiestas']","['Aceite de oliva', 'Ajo', 'Cebolla', 'Pimiento verde', 'Tomate', 'Tomillo', 'Caldo de ave', 'Centeno', 'Centeno', 'Huevo']",light
Receta de sopa de tomate,/receta-865/sopa-de-tomate,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'minimalistas', 'tradicionales', 'para niños', 'mediterráneas', 'para tupper']","['Tomate', 'Patata', 'Puerro', 'Aceite de oliva']",tradicionales
Receta de gazpacho,/receta-969/gazpacho,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'veraniegas', 'tradicionales', 'para fiestas', 'para niños', 'mediterráneas', 'para tupper']","['Tomate', 'Pepino', 'Ajo', 'Pimiento verde', 'Pimiento rojo', 'Pan', 'Cebolla', 'Sal', 'Aceite de oliva', 'Vinagre']",light
Receta de Crema de coliflor,/receta-1066/crema-de-coliflor,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'invernales', 'mediterráneas']","['Coliflor', 'Patata', 'Cebolla', 'Queso en loncha', 'Leche', 'Sal']",veraniegas
Receta de GAZPACHO CON GUARNICIÓN,/receta-999/gazpacho-con-guarnicion,5,Entre 15 y 30 min.,Sencilla,[],"['Tomate', 'Pimiento', 'Ajo', 'Barra de pan', 'Aceite', 'Vinagre', 'Sal', 'Agua']",vegetarianas
Receta de Caldo gallego rápido,/receta-105/caldo-gallego-rapido,5,Entre 30 y 60 min.,Sencilla,['tradicionales'],"['Pollo', 'Panceta', 'Patata', 'Haba', 'Grelos', 'Agua', 'Cubito de caldo']",light
Receta de SALMOREJO CORDOBÉS,/receta-350/salmorejo-cordobes,5,Menos de 15 min.,Sencilla,"['veraniegas', 'tradicionales', 'para Thermomix', 'mediterráneas']","['Tomate pera', 'Ajo', 'Vinagre', 'Aceite de oliva', 'Pan', 'Huevo', 'Jamón cocido']",
Receta de CREMA DE GARBANZOS,/receta-939/crema-de-garbanzos,5,Entre 15 y 30 min.,Sencilla,['tradicionales'],"['Garbanzos', 'Pimienta molida', 'Caldo de verdura', 'Sal', 'Pan']",light
Receta de Crema de brócoli al queso azúl,/receta-362/crema-de-brocoli-al-queso-azul,5,Entre 15 y 30 min.,Sencilla,[],"['Brécol', 'Patata', 'Queso Azul', 'Jamón serrano', 'Aceite de oliva']",light
Receta de Crema de calabaza,/receta-356/crema-de-calabaza,5,Entre 30 y 60 min.,Sencilla,"['vegetarianas', 'invernales', 'para halloween']","['Calabaza', 'Puerro', 'Nata para cocinar', 'Sal', 'Pimienta']",light
Receta de Crema de puerros y patatas,/receta-1147/crema-de-puerros-y-patatas,5,Entre 30 y 60 min.,Sencilla,[],"['Puerro', 'Cebolla', 'Mantequilla', 'Patata', 'Agua', 'Sal', 'Nuez', 'Cubito de caldo', 'Nata', 'Perejil']",exóticas
Receta de Crema de calabaza,/receta-104/crema-de-calabaza,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'invernales', 'tradicionales', 'para niños', 'para tupper']","['Calabaza', 'Cebolla', 'Puerro', 'Quesito en porciones', 'Cubito de caldo', 'Agua', 'Sal', 'Pimienta', 'Patata', 'Aceite de oliva']",light
Receta de CREMA DE CALABACÍN,/receta-957/crema-de-calabacin,5,Entre 15 y 30 min.,Sencilla,[],"['Calabacín', 'Nata para cocinar', 'Quesito en porciones', 'Agua', 'Sal', 'Pan de molde', 'Quesito en porciones', 'Quesito en porciones']",mediterráneas
Receta de Caldo de Pollo,/receta-215/caldo-de-pollo,4,Entre 15 y 30 min.,Sencilla,"['invernales', 'tradicionales', 'mediterráneas']","['Cebolla', 'Zanahoria', 'Agua', 'Pollo', 'Col', 'Aceite', 'Sal']",vegetarianas
Receta de Sopa de miso,/receta-183/sopa-de-miso,4,Menos de 15 min.,Media,"['exóticas', 'asiáticas']","['Miso', 'Tofu', 'Cebolleta', 'Seta', 'Caldo de pescado']",tradicionales
Receta de Crema de tomate,/receta-669/crema-de-tomate,4,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'mediterráneas']","['Tomate', 'Apio', 'Cebolla', 'Aceite de oliva', 'Sal']",
Receta de Sopa de verduras,/receta-441/sopa-de-verduras,4,Entre 30 y 60 min.,Sencilla,"['vegetarianas', 'tradicionales']","['Coliflor', 'Judía', 'Espinaca', 'Acelga', 'Puerro', 'Zanahoria', 'Aceite', 'Patata', 'Calabacín', 'Calabaza', 'Caldo de ave']",veraniegas
Receta de crema de espinacas,/receta-212/crema-de-espinacas,4,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'invernales', 'tradicionales', 'para niños']","['Patata', 'Puerro', 'Leche', 'Queso para untar', 'Aceite', 'Sal', 'Espinaca']",veraniegas
Receta de Crema de zanahorias,/receta-50/crema-de-zanahorias,4,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'tradicionales', 'para tupper']","['Zanahoria', 'Patata', 'Puerro', 'Queso para untar', 'Sal']",veraniegas
Receta de Puré de hortalizas.,/receta-1432/pure-de-hortalizas,4,Entre 15 y 30 min.,Sencilla,[],"['Patata', 'Zanahoria', 'Calabaza', 'Calabacín', 'Cebolla', 'Tomate', 'Nata', 'Queso', 'Picatoste', 'Laurel', 'Ajo', 'Caldo de ave', 'Jamón cocido']",veraniegas
Receta de SOPA CASTELLANA,/receta-1102/sopa-castellana,4,Entre 15 y 30 min.,Sencilla,[],"['Jamón serrano', 'Pimiento', 'Huevo', 'Pan', 'Pimentón dulce', 'Pimentón picante', 'Caldo de ave', 'Ajo', 'Aceite', 'Sal']",veraniegas
Receta de RAMEN VEGETARIANO,/receta-715/ramen-vegetariano,4,Entre 30 y 60 min.,Sencilla,"['vegetarianas', 'exóticas', 'asiáticas']","['Fideos largos', 'Ajo', 'Cebolleta', 'Puerro', 'Zanahoria', 'Champiñón', 'Apio', 'Jengibre', 'Salsa de soja', 'Alga wakame', 'Aceite de oliva', 'Sal', 'Pimienta negra', 'Agua', 'Perejil']",invernales
Receta de Crema de pepino y aguacate,/receta-603/crema-de-pepino-y-aguacate,4,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'mediterráneas']","['Pepino', 'Aguacate', 'Ajo', 'Anacardo', 'Aceite de oliva', 'Sal', 'Finas hierbas']",light
Receta de Crema de lentejas,/receta-68/crema-de-lentejas,4,Entre 15 y 30 min.,Sencilla,"['vegetarianas', 'invernales', 'para niños', 'mediterráneas']","['Lenteja', 'Zanahoria', 'Puerro', 'Ajo', 'Apio', 'Aceite de oliva', 'Sal', 'Pimienta', 'Huevo', 'Queso fresco']",tradicionales
